               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  45,            0.098546,             0.81076,            0.019276,           0.0033333,            0.044444,            0.002058,          0.00079557,            0.099423,              0.3298,            0.025116,            0.057495,           0.0024953,           0.0024953
                  46,            0.095382,             0.77529,            0.019672,              0.0025,            0.033333,           0.0015592,          0.00075684,             0.09931,             0.33035,            0.025214,            0.056505,           0.0025052,           0.0025052
                  47,            0.086506,              0.6937,            0.019051,              0.0025,            0.033333,           0.0015592,          0.00075684,             0.09931,             0.33035,            0.025214,            0.055513,           0.0025131,           0.0025131
                  48,            0.095337,             0.78031,            0.019615,           0.0041667,            0.055556,           0.0025013,           0.0010715,            0.099334,              0.3307,            0.025116,            0.054519,            0.002519,            0.002519
                  49,            0.091524,             0.64457,            0.018363,           0.0041667,            0.055556,           0.0025013,           0.0010715,            0.099334,              0.3307,            0.025116,            0.053523,            0.002523,            0.002523
                  50,            0.098134,             0.61507,            0.018756,           0.0066667,            0.088889,           0.0041653,           0.0017083,            0.099338,             0.33085,            0.025085,            0.052525,            0.002525,            0.002525
                  51,            0.084759,             0.68905,             0.01731,           0.0066667,            0.088889,           0.0041653,           0.0017083,            0.099338,             0.33085,            0.025085,            0.051525,            0.002525,            0.002525
                  52,            0.095985,             0.76962,            0.018408,           0.0066667,            0.088889,           0.0041653,           0.0017083,            0.099338,             0.33085,            0.025085,            0.050523,            0.002523,            0.002523
                  53,            0.094129,             0.67874,            0.018765,               0.005,            0.066667,           0.0031115,           0.0010383,             0.09921,             0.33397,            0.025342,            0.049519,           0.0025191,           0.0025191
                  54,            0.091044,             0.80398,            0.018213,               0.005,            0.066667,           0.0031115,           0.0010383,             0.09921,             0.33397,            0.025342,            0.048513,           0.0025132,           0.0025132
                  55,              0.0925,             0.75369,            0.018068,               0.005,            0.066667,           0.0031115,           0.0010383,             0.09921,             0.33397,            0.025342,            0.047505,           0.0025053,           0.0025053
                  56,            0.094451,             0.76593,            0.018049,           0.0033389,            0.044444,           0.0020737,          0.00070462,            0.098757,             0.33627,            0.025458,            0.046495,           0.0024954,           0.0024954
                  57,            0.089523,             0.72614,            0.017444,           0.0033389,            0.044444,           0.0020737,          0.00070462,            0.098757,             0.33627,            0.025458,            0.045483,           0.0024835,           0.0024835
                  58,             0.08653,              0.6807,            0.019537,           0.0033389,            0.044444,           0.0020737,          0.00070462,            0.098757,             0.33627,            0.025458,             0.04447,           0.0024696,           0.0024696
                  59,            0.096406,             0.59109,            0.017473,          0.00083472,            0.011111,           0.0007629,          0.00033895,            0.097834,             0.29835,            0.026093,            0.043454,           0.0024538,           0.0024538
                  60,            0.087531,             0.64171,            0.016832,          0.00083472,            0.011111,           0.0007629,          0.00033895,            0.097834,             0.29835,            0.026093,            0.042436,            0.002436,            0.002436
                  61,            0.095583,             0.69875,            0.017919,          0.00083472,            0.011111,           0.0007629,          0.00033895,            0.097834,             0.29835,            0.026093,            0.041416,           0.0024162,           0.0024162
                  62,            0.087041,             0.74136,            0.017977,           0.0083333,             0.11111,           0.0054799,           0.0023333,            0.098023,             0.29729,            0.026056,            0.040394,           0.0023944,           0.0023944
                  63,            0.096947,             0.69394,            0.016613,           0.0083333,             0.11111,           0.0054799,           0.0023333,            0.098023,             0.29729,            0.026056,            0.039371,           0.0023707,           0.0023707
                  64,            0.081983,             0.63996,            0.016124,           0.0083333,             0.11111,           0.0054799,           0.0023333,            0.098023,             0.29729,            0.026056,            0.038345,            0.002345,            0.002345
                  65,            0.085686,             0.63498,             0.01654,              0.0125,             0.16667,           0.0095099,           0.0032612,            0.097934,             0.29525,            0.026038,            0.037317,           0.0023172,           0.0023172
                  66,            0.088767,              0.6853,            0.016329,              0.0125,             0.16667,           0.0095099,           0.0032612,            0.097934,             0.29525,            0.026038,            0.036288,           0.0022876,           0.0022876
                  67,            0.087173,             0.74192,            0.016919,              0.0125,             0.16667,           0.0095099,           0.0032612,            0.097934,             0.29525,            0.026038,            0.035256,           0.0022559,           0.0022559
                  68,            0.087525,             0.55025,             0.01644,            0.011686,             0.15556,           0.0080348,           0.0028215,            0.098022,              0.2955,            0.025983,            0.034222,           0.0022222,           0.0022222
                  69,            0.085851,             0.53876,            0.014921,            0.011686,             0.15556,           0.0080348,           0.0028215,            0.098022,              0.2955,            0.025983,            0.033187,           0.0021866,           0.0021866
                  70,            0.087553,             0.74308,            0.016381,            0.011686,             0.15556,           0.0080348,           0.0028215,            0.098022,              0.2955,            0.025983,            0.032149,            0.002149,            0.002149
                  71,             0.09571,             0.57986,            0.015265,            0.010017,             0.13333,           0.0069549,           0.0023449,            0.097592,             0.29511,             0.02627,            0.031109,           0.0021094,           0.0021094
                  72,            0.087681,             0.77105,            0.015446,            0.010017,             0.13333,           0.0069549,           0.0023449,            0.097592,             0.29511,             0.02627,            0.030068,           0.0020678,           0.0020678
                  73,            0.085468,             0.63462,            0.016088,            0.010017,             0.13333,           0.0069549,           0.0023449,            0.097592,             0.29511,             0.02627,            0.029024,           0.0020243,           0.0020243
                  74,            0.087898,             0.60653,            0.015393,           0.0075758,                 0.1,            0.004969,           0.0016897,            0.097176,             0.29213,            0.026666,            0.027979,           0.0019788,           0.0019788
